review_id,product_category,product_name,review_text,star_rating,review_date,verified_purchase,text_for_topics,text_for_sentiment,sentiment,predicted_stars,confidence,actual_sentiment,extractive_summary,abstractive_summary,dominant_topic,topic_confidence,topic_label
13,Living Room,SmartTV 55in 4K UHD,Very disappointed. The SmartTV 55in 4K UHD arrived damaged and smells like chemicals. Returning it.,2,2024-06-28,True,disappointed smarttv 55 4k uhd arrive damage smell like chemical return,very disappointed . the smarttv 55 in 4k uhd arrived damaged and smells like chemicals . returning it .,Negative,1,0.7782646417617798,Negative,The SmartTV 55in 4K UHD arrived damaged and smells like chemicals.,Very disappointed. The SmartTV 55in 4K UHD arrived damaged and smells like chemicals. Returning it.,5,0.5761881971216589,Product Accuracy
14,Bedroom Furniture,NightOwl LED Bedside Lamp,Bought the NightOwl LED Bedside Lamp as a gift and the recipient loved it. Excellent build quality.,5,2024-09-08,True,buy nightowl lead bedside lamp gift recipient love excellent build quality,bought the nightowl led bedside lamp as a gift and the recipient loved it . excellent build quality .,Positive,5,0.8877393007278442,Positive,Bought the NightOwl LED Bedside Lamp as a gift and the recipient loved it.,Bought the NightOwl LED Bedside Lamp as a gift and the recipient loved it. Excellent build quality.,4,0.5903395830534971,Build Quality
15,Bathroom,MirrorPro LED Vanity Mirror,Mixed feelings about the MirrorPro LED Vanity Mirror. Setup was easy but performance is mediocre.,3,2024-12-25,True,mixed feeling mirrorpro lead vanity mirror setup easy performance mediocre,mixed feelings about the mirrorpro led vanity mirror . setup was easy but performance is mediocre .,Negative,2,0.5007548332214355,Neutral,Mixed feelings about the MirrorPro LED Vanity Mirror.,Mixed feelings about the MirrorPro LED Vanity Mirror. Setup was easy but performance is mediocre.,2,0.5381946181721349,Daily Use Satisfaction
16,Bathroom,AquaFlow Rainfall Showerhead,Absolutely love my AquaFlow Rainfall Showerhead! Works perfectly and arrived on time. Would buy again.,5,2024-06-16,True,absolutely love aquaflow rainfall showerhead work perfectly arrive time buy,absolutely love my aquaflow rainfall showerhead ! works perfectly and arrived on time . would buy again .,Positive,5,0.9628658890724182,Positive,Absolutely love my AquaFlow Rainfall Showerhead!,Absolutely love my AquaFlow Rainfall Showerhead! Works perfectly and arrived on time. Would buy again.,0,0.5974102606997612,Delivery & Arrival
17,Bedroom Furniture,WoodCraft Bed Frame Queen,DO NOT BUY. The WoodCraft Bed Frame Queen stopped working completely. Customer service was useless.,1,2024-12-20,True,buy woodcraft bed frame queen stop work completely customer service useless,do not buy . the woodcraft bed frame queen stopped working completely . customer service was useless .,Negative,1,0.9376532435417176,Negative,The WoodCraft Bed Frame Queen stopped working completely.,DO NOT BUY. The WoodCraft Bed Frame Queen stopped working completely. Customer service was useless.,7,0.553261647634648,Mattress & Comfort
18,Bathroom,AquaFlow Rainfall Showerhead,Bought the AquaFlow Rainfall Showerhead as a gift and the recipient loved it. Excellent build quality. https://fakeurl.com/ref123,4,2023-10-13,False,buy aquaflow rainfall showerhead gift recipient love excellent build quality,bought the aquaflow rainfall showerhead as a gift and the recipient loved it . excellent build quality .,Positive,5,0.8800055384635925,Positive,Bought the AquaFlow Rainfall Showerhead as a gift and the recipient loved it.,Bought the AquaFlow Rainfall Showerhead as a gift and the recipient loved it. Excellent build quality. https://fakeurl.com/ref123,4,0.6049987892502944,Build Quality
19,Bathroom,AromaSpa Diffuser,"Five stars. The AromaSpa Diffuser is well built, easy to set up, and my whole family loves it.",4,2024-05-30,True,star aromaspa diffuser build easy set family love,"five stars . the aromaspa diffuser is well built , easy to set up , and my whole family loves it .",Positive,5,0.9949935078620912,Positive,"The AromaSpa Diffuser is well built, easy to set up, and my whole family loves it.","Five stars. The AromaSpa Diffuser is well built, easy to set up, and my whole family loves it.",1,0.9437440433150663,Ease of Setup
20,Kitchen Appliances,TurboBlend Pro 5000,I was skeptical at first but the TurboBlend Pro 5000 is genuinely impressive. Fast delivery too. !!!!!!,5,2024-09-03,True,skeptical turboblend pro 5000 genuinely impressive fast delivery,i was skeptical at first but the turboblend pro 5000 is genuinely impressive . fast delivery too . ! ! ! ! ! !,Positive,5,0.7565324902534485,Positive,I was skeptical at first but the TurboBlend Pro 5000 is genuinely impressive.,I was skeptical at first but the TurboBlend Pro 5000 is genuinely impressive. Fast delivery too. !!!!!!,2,0.4933115868312971,Daily Use Satisfaction
21,Bedroom Furniture,WoodCraft Bed Frame Queen,Very disappointed. The WoodCraft Bed Frame Queen arrived damaged and smells like chemicals. Returning it. https://fakeurl.com/ref123,1,2023-08-07,True,disappointed woodcraft bed frame queen arrive damage smell like chemical return,very disappointed . the woodcraft bed frame queen arrived damaged and smells like chemicals . returning it .,Negative,1,0.7467015385627747,Negative,The WoodCraft Bed Frame Queen arrived damaged and smells like chemicals.,Very disappointed. The WoodCraft Bed Frame Queen arrived damaged and smells like chemicals. Returning it. https://fakeurl.com/ref123,5,0.5116747337569733,Product Accuracy
22,Living Room,SoundBar X200 Bluetooth,My SoundBar X200 Bluetooth arrived well packaged and started working immediately. No issues at all.,5,2023-11-11,False,soundbar x200 bluetooth arrive package start work immediately issue,my soundbar x200 bluetooth arrived well packaged and started working immediately . no issues at all .,Positive,5,0.7898597717285156,Positive,My SoundBar X200 Bluetooth arrived well packaged and started working immediately.,My SoundBar X200 Bluetooth arrived well packaged and started working immediately. No issues at all.,0,0.5973564055614287,Delivery & Arrival
23,Bedroom Furniture,VelvetTouch Duvet Cover,My VelvetTouch Duvet Cover arrived well packaged and started working immediately. No issues at all.,5,2023-03-17,True,velvettouch duvet cover arrive package start work immediately issue,my velvettouch duvet cover arrived well packaged and started working immediately . no issues at all .,Positive,5,0.7933488488197327,Positive,My VelvetTouch Duvet Cover arrived well packaged and started working immediately.,My VelvetTouch Duvet Cover arrived well packaged and started working immediately. No issues at all.,0,0.9499998213802358,Delivery & Arrival
24,Living Room,GlowLight Floor Lamp,"THE GLOWLIGHT FLOOR LAMP IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT. 5 STARS!",4,2024-12-14,True,glowlight floor lamp easy clean quiet operation look great 5 star,"the glowlight floor lamp is easy to clean , quiet during operation , and looks great . 5 stars !",Positive,5,0.9853927493095398,Positive,"THE GLOWLIGHT FLOOR LAMP IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT.","THE GLOWLIGHT FLOOR LAMP IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT. 5 STARS!",4,0.7049990330879706,Build Quality
25,Kitchen Appliances,CrispAir Fryer XL,The CrispAir Fryer XL is okay. Does what it says but nothing special. Average quality.,4,2023-09-01,True,crispair fryer xl okay say special average quality,the crispair fryer xl is okay . does what it says but nothing special . average quality .,Neutral,3,0.8412554264068604,Positive,The CrispAir Fryer XL is okay.,The CrispAir Fryer XL is okay. Does what it says but nothing special. Average quality.,8,0.6066654893235007,Recommendation & Value
26,Living Room,CozySofa L-Shape Sectional,I was skeptical at first but the CozySofa L-Shape Sectional is genuinely impressive. Fast delivery too.,5,2024-07-05,True,skeptical cozysofa l shape sectional genuinely impressive fast delivery,i was skeptical at first but the cozysofa l - shape sectional is genuinely impressive . fast delivery too .,Positive,5,0.5475029945373535,Positive,I was skeptical at first but the CozySofa L-Shape Sectional is genuinely impressive.,I was skeptical at first but the CozySofa L-Shape Sectional is genuinely impressive. Fast delivery too.,2,0.5062500805188234,Daily Use Satisfaction
27,Living Room,AirPurifier ProMax,The AirPurifier ProMax emits a strange chemical smell when running. Cannot use it safely indoors.,1,2023-10-23,True,airpurifier promax emit strange chemical smell run use safely indoor,the airpurifier promax emits a strange chemical smell when running . can not use it safely indoors .,Negative,2,0.467708021402359,Negative,The AirPurifier ProMax emits a strange chemical smell when running.,The AirPurifier ProMax emits a strange chemical smell when running. Cannot use it safely indoors.,9,0.9526278838384257,Mixed Product Category
28,Kitchen Appliances,InstaBrew Coffee Maker,Outstanding product. The InstaBrew Coffee Maker has made my daily routine so much easier. Thank you!,4,2023-09-06,True,outstanding product instabrew coffee maker daily routine easy thank,outstanding product . the instabrew coffee maker has made my daily routine so much easier . thank you !,Positive,5,0.964020013809204,Positive,The InstaBrew Coffee Maker has made my daily routine so much easier.,Outstanding product. The InstaBrew Coffee Maker has made my daily routine so much easier. Thank you!,2,0.6166659896220583,Daily Use Satisfaction
29,Bathroom,AromaSpa Diffuser,Bought the AromaSpa Diffuser as a gift and the recipient loved it. Excellent build quality.,5,2023-05-04,True,buy aromaspa diffuser gift recipient love excellent build quality,bought the aromaspa diffuser as a gift and the recipient loved it . excellent build quality .,Positive,5,0.9003315567970276,Positive,Bought the AromaSpa Diffuser as a gift and the recipient loved it.,Bought the AromaSpa Diffuser as a gift and the recipient loved it. Excellent build quality.,4,0.9499970565972744,Build Quality
30,Bedroom Furniture,NightOwl LED Bedside Lamp,"Five stars. The NightOwl LED Bedside Lamp is well built, easy to set up, and my whole family loves it.",5,2023-10-05,False,star nightowl lead bedside lamp build easy set family love,"five stars . the nightowl led bedside lamp is well built , easy to set up , and my whole family loves it .",Positive,5,0.994949221611023,Positive,"The NightOwl LED Bedside Lamp is well built, easy to set up, and my whole family loves it.","Five stars. The NightOwl LED Bedside Lamp is well built, easy to set up, and my whole family loves it.",1,0.9549993242379166,Ease of Setup
31,Living Room,SmartTV 55in 4K UHD,Outstanding product. The SmartTV 55in 4K UHD has made my daily routine so much easier. Thank you!,4,2023-10-06,True,outstanding product smarttv 55 4k uhd daily routine easy thank,outstanding product . the smarttv 55 in 4k uhd has made my daily routine so much easier . thank you !,Positive,5,0.9670751094818116,Positive,The SmartTV 55in 4K UHD has made my daily routine so much easier.,Outstanding product. The SmartTV 55in 4K UHD has made my daily routine so much easier. Thank you!,2,0.5459067680472299,Daily Use Satisfaction
32,Living Room,AirPurifier ProMax,Outstanding product. The AirPurifier ProMax has made my daily routine so much easier. Thank you!,5,2023-01-14,True,outstanding product airpurifier promax daily routine easy thank,outstanding product . the airpurifier promax has made my daily routine so much easier . thank you !,Positive,5,0.9643829464912416,Positive,The AirPurifier ProMax has made my daily routine so much easier.,Outstanding product. The AirPurifier ProMax has made my daily routine so much easier. Thank you!,2,0.7562494202329745,Daily Use Satisfaction
33,Kitchen Appliances,TurboBlend Pro 5000,<p>Great product. The TurboBlend Pro 5000 exceeded my expectations in every way. Highly recommend!</p>,4,2023-03-23,False,great product turboblend pro 5000 exceed expectation way highly recommend,great product . the turboblend pro 5000 exceeded my expectations in every way . highly recommend !,Positive,5,0.9665916562080384,Positive,<p>Great product.,<p>Great product. The TurboBlend Pro 5000 exceeded my expectations in every way. Highly recommend!</p>,8,0.6002346256117136,Recommendation & Value
34,Living Room,GlowLight Floor Lamp,The GlowLight Floor Lamp itself is fine but the packaging was completely destroyed on arrival. https://fakeurl.com/ref123,3,2023-11-07,True,glowlight floor lamp fine packaging completely destroy arrival,the glowlight floor lamp itself is fine but the packaging was completely destroyed on arrival .,Negative,2,0.4291197657585144,Neutral,The GlowLight Floor Lamp itself is fine but the packaging was completely destroyed on arrival.,The GlowLight Floor Lamp itself is fine but the packaging was completely destroyed on arrival. https://fakeurl.com/ref123,2,0.5963181870239191,Daily Use Satisfaction
35,Bathroom,SoftTouch Luxury Towel Set,<p>Solid quality and great value. The SoftTouch Luxury Towel Set feels premium and performs even better.</p>,5,2023-07-20,True,solid quality great value softtouch luxury towel set feel premium perform well,solid quality and great value . the softtouch luxury towel set feels premium and performs even better .,Positive,5,0.8570986390113831,Positive,The SoftTouch Luxury Towel Set feels premium and performs even better.</p>,<p>Solid quality and great value. The SoftTouch Luxury Towel Set feels premium and performs even better.</p>,4,0.6781586799003839,Build Quality
36,Bedroom Furniture,WoodCraft Bed Frame Queen,OUTSTANDING PRODUCT. THE WOODCRAFT BED FRAME QUEEN HAS MADE MY DAILY ROUTINE SO MUCH EASIER. THANK YOU!,5,2024-03-31,True,outstanding product woodcraft bed frame queen daily routine easy thank,outstanding product . the woodcraft bed frame queen has made my daily routine so much easier . thank you !,Positive,5,0.9594463109970092,Positive,THE WOODCRAFT BED FRAME QUEEN HAS MADE,OUTSTANDING PRODUCT. THE WOODCRAFT BED FRAME QUEEN HAS MADE MY DAILY ROUTINE SO MUCH EASIER. THANK YOU!,2,0.4964435861795418,Daily Use Satisfaction
37,Living Room,CozySofa L-Shape Sectional,"The CozySofa L-Shape Sectional is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123",5,2023-07-24,True,cozysofa l shape sectional easy clean quiet operation look great 5 star,"the cozysofa l - shape sectional is easy to clean , quiet during operation , and looks great . 5 stars !",Positive,5,0.9838830828666688,Positive,"The CozySofa L-Shape Sectional is easy to clean, quiet during operation, and looks great.","The CozySofa L-Shape Sectional is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123",4,0.7049990079669046,Build Quality
38,Bathroom,AromaSpa Diffuser,Outstanding product. The AromaSpa Diffuser has made my daily routine so much easier. Thank you!,4,2023-10-11,True,outstanding product aromaspa diffuser daily routine easy thank,outstanding product . the aromaspa diffuser has made my daily routine so much easier . thank you !,Positive,5,0.9617539048194884,Positive,The AromaSpa Diffuser has made my daily routine so much easier.,Outstanding product. The AromaSpa Diffuser has made my daily routine so much easier. Thank you!,2,0.9437462714351152,Daily Use Satisfaction
39,Living Room,SmartTV 55in 4K UHD,Solid quality and great value. The SmartTV 55in 4K UHD feels premium and performs even better. https://fakeurl.com/ref123,4,2024-08-18,True,solid quality great value smarttv 55 4k uhd feel premium perform well,solid quality and great value . the smarttv 55 in 4k uhd feels premium and performs even better .,Positive,5,0.8905206322669983,Positive,The SmartTV 55in 4K UHD feels premium and performs even better.,Solid quality and great value. The SmartTV 55in 4K UHD feels premium and performs even better. https://fakeurl.com/ref123,4,0.6708330940573342,Build Quality
40,Kitchen Appliances,TurboBlend Pro 5000,"FIVE STARS. THE TURBOBLEND PRO 5000 IS WELL BUILT, EASY TO SET UP, AND MY WHOLE FAMILY LOVES IT.",5,2024-10-01,True,star turboblend pro 5000 build easy set family love,"five stars . the turboblend pro 5000 is well built , easy to set up , and my whole family loves it .",Positive,5,0.9948568344116212,Positive,"THE TURBOBLEND PRO 5000 IS WELL BUILT, EASY TO SET UP, AND MY WHOLE FAMILY LOVES IT.","FIVE STARS. THE TURBOBLEND PRO 5000 IS WELL BUILT, EASY TO SET UP, AND MY WHOLE FAMILY LOVES IT.",1,0.6663465475018834,Ease of Setup
41,Living Room,CozySofa L-Shape Sectional,Absolutely love my CozySofa L-Shape Sectional! Works perfectly and arrived on time. Would buy again.,4,2024-01-24,True,absolutely love cozysofa l shape sectional work perfectly arrive time buy,absolutely love my cozysofa l - shape sectional ! works perfectly and arrived on time . would buy again .,Positive,5,0.9607956409454346,Positive,Absolutely love my CozySofa L-Shape Sectional!,Absolutely love my CozySofa L-Shape Sectional! Works perfectly and arrived on time. Would buy again.,0,0.6451013719645996,Delivery & Arrival
42,Bedroom Furniture,CloudPillow Set (2-pack),My CloudPillow Set (2-pack) arrived well packaged and started working immediately. No issues at all.,5,2024-05-21,True,cloudpillow set 2 pack arrive package start work immediately issue,my cloudpillow set ( 2 - pack ) arrived well packaged and started working immediately . no issues at all .,Positive,5,0.8055617213249207,Positive,My CloudPillow Set (2-pack) arrived well packaged and started working immediately.,My CloudPillow Set (2-pack) arrived well packaged and started working immediately. No issues at all.,0,0.6650337268395335,Delivery & Arrival
43,Bathroom,MirrorPro LED Vanity Mirror,"The MirrorPro LED Vanity Mirror is easy to clean, quiet during operation, and looks great. 5 stars!",5,2024-04-30,False,mirrorpro lead vanity mirror easy clean quiet operation look great 5 star,"the mirrorpro led vanity mirror is easy to clean , quiet during operation , and looks great . 5 stars !",Positive,5,0.9830264449119568,Positive,"The MirrorPro LED Vanity Mirror is easy to clean, quiet during operation, and looks great.","The MirrorPro LED Vanity Mirror is easy to clean, quiet during operation, and looks great. 5 stars!",4,0.5407879002607072,Build Quality
44,Kitchen Appliances,SliceMaster Food Processor,"THE SLICEMASTER FOOD PROCESSOR IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT. 5 STARS!",5,2024-06-28,True,slicemaster food processor easy clean quiet operation look great 5 star,"the slicemaster food processor is easy to clean , quiet during operation , and looks great . 5 stars !",Positive,5,0.987058699131012,Positive,"THE SLICEMASTER FOOD PROCESSOR IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT.","THE SLICEMASTER FOOD PROCESSOR IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT. 5 STARS!",4,0.7049990861746948,Build Quality
45,Bathroom,AquaFlow Rainfall Showerhead,SOLID QUALITY AND GREAT VALUE. THE AQUAFLOW RAINFALL SHOWERHEAD FEELS PREMIUM AND PERFORMS EVEN BETTER.,5,2023-09-28,True,solid quality great value aquaflow rainfall showerhead feel premium perform well,solid quality and great value . the aquaflow rainfall showerhead feels premium and performs even better .,Positive,5,0.8498845100402832,Positive,THE AQUAFLOW RAINFALL SHOWERHEAD FEELS PREMIUM AND PERFORMS EVEN BETTER.,SOLID QUALITY AND GREAT VALUE. THE AQUAFLOW RAINFALL SHOWERHEAD FEELS PREMIUM AND PERFORMS EVEN BETTER.,4,0.7318178030773709,Build Quality
46,Kitchen Appliances,SliceMaster Food Processor,"Five stars. The SliceMaster Food Processor is well built, easy to set up, and my whole family loves it.",5,2024-05-04,True,star slicemaster food processor build easy set family love,"five stars . the slicemaster food processor is well built , easy to set up , and my whole family loves it .",Positive,5,0.9946897029876708,Positive,"The SliceMaster Food Processor is well built, easy to set up, and my whole family loves it.","Five stars. The SliceMaster Food Processor is well built, easy to set up, and my whole family loves it.",1,0.6506279870624939,Ease of Setup
47,Kitchen Appliances,CrispAir Fryer XL,<p>Delivery took 3 weeks and the CrispAir Fryer XL box was crushed. Product inside was okay though.</p>,2,2023-08-27,True,delivery take 3 week crispair fryer xl box crush product inside okay,delivery took 3 weeks and the crispair fryer xl box was crushed . product inside was okay though .,Negative,2,0.4120281040668487,Negative,<p>Delivery took 3 weeks and the CrispAir Fryer XL box was crushed.,<p>Delivery took 3 weeks and the CrispAir Fryer XL box was crushed. Product inside was okay though.</p>,6,0.6863628335638556,Furniture & Frames
48,Bedroom Furniture,DreamRest Memory Foam Mattress,Great product. The DreamRest Memory Foam Mattress exceeded my expectations in every way. Highly recommend!,4,2023-07-09,True,great product dreamr memory foam mattress exceed expectation way highly recommend,great product . the dreamrest memory foam mattress exceeded my expectations in every way . highly recommend !,Positive,5,0.9569875001907348,Positive,The DreamRest Memory Foam Mattress exceeded my expectations in every way.,Great product. The DreamRest Memory Foam Mattress exceeded my expectations in every way. Highly recommend!,8,0.5954542960494437,Recommendation & Value
49,Living Room,SoundBar X200 Bluetooth,Very disappointed. The SoundBar X200 Bluetooth arrived damaged and smells like chemicals. Returning it.,2,2023-11-16,True,disappointed soundbar x200 bluetooth arrive damage smell like chemical return,very disappointed . the soundbar x200 bluetooth arrived damaged and smells like chemicals . returning it .,Negative,1,0.7398269772529602,Negative,The SoundBar X200 Bluetooth arrived damaged and smells like chemicals.,Very disappointed. The SoundBar X200 Bluetooth arrived damaged and smells like chemicals. Returning it.,5,0.9526297371585708,Product Accuracy
50,Bedroom Furniture,VelvetTouch Duvet Cover,I was skeptical at first but the VelvetTouch Duvet Cover is genuinely impressive. Fast delivery too.,5,2023-03-13,False,skeptical velvettouch duvet cover genuinely impressive fast delivery,i was skeptical at first but the velvettouch duvet cover is genuinely impressive . fast delivery too .,Positive,5,0.5377263426780701,Positive,I was skeptical at first but the VelvetTouch Duvet Cover is genuinely impressive.,I was skeptical at first but the VelvetTouch Duvet Cover is genuinely impressive. Fast delivery too.,2,0.5062502106754068,Daily Use Satisfaction
51,Bedroom Furniture,VelvetTouch Duvet Cover,Absolutely love my VelvetTouch Duvet Cover! Works perfectly and arrived on time. Would buy again.,5,2023-11-30,True,absolutely love velvettouch duvet cover work perfectly arrive time buy,absolutely love my velvettouch duvet cover ! works perfectly and arrived on time . would buy again .,Positive,5,0.965213179588318,Positive,Absolutely love my VelvetTouch Duvet Cover!,Absolutely love my VelvetTouch Duvet Cover! Works perfectly and arrived on time. Would buy again.,0,0.954999596256088,Delivery & Arrival
52,Kitchen Appliances,SteamKing Rice Cooker,<p>Absolutely love my SteamKing Rice Cooker! Works perfectly and arrived on time. Would buy again.</p>,5,2023-05-28,False,absolutely love steamking rice cooker work perfectly arrive time buy,absolutely love my steamking rice cooker ! works perfectly and arrived on time . would buy again .,Positive,5,0.967549443244934,Positive,<p>Absolutely love my SteamKing Rice Cooker!,<p>Absolutely love my SteamKing Rice Cooker! Works perfectly and arrived on time. Would buy again.</p>,0,0.7013954455734007,Delivery & Arrival
53,Bathroom,MirrorPro LED Vanity Mirror,"Five stars. The MirrorPro LED Vanity Mirror is well built, easy to set up, and my whole family loves it.",5,2023-04-02,False,star mirrorpro lead vanity mirror build easy set family love,"five stars . the mirrorpro led vanity mirror is well built , easy to set up , and my whole family loves it .",Positive,5,0.9949426054954528,Positive,"The MirrorPro LED Vanity Mirror is well built, easy to set up, and my whole family loves it.","Five stars. The MirrorPro LED Vanity Mirror is well built, easy to set up, and my whole family loves it.",1,0.9549994631914343,Ease of Setup
