product_features,problems,praise,mentioned_timeframe,review_id
"['LED', 'Bedside Lamp']",[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,2516
['CrispAir Fryer XL'],['expected better quality'],"['fine product', 'gets the job done']",,3586
['SoftTouch Luxury Towel Set'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,4316
"['CloudPillow Set', '2-pack']",[],"['Outstanding product', 'made my daily routine so much easier']",,4967
"['packaging', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,2100
"['air purifier', 'AirPurifier ProMax']",[],"['outstanding product', 'made my daily routine so much easier']",,3600
['delivery speed'],[],"['impressive', 'fast delivery']",,4122
"['build quality', 'ease of setup', 'LED', 'bedside lamp']",[],"['well built', 'easy to set up', 'family loves it']",,30
['memory foam'],[],"['great product', 'exceeded expectations', 'highly recommend']",,66
"['steaming', 'rice cooking']","['average quality', 'nothing special']",['does what it says'],,839
['diffuser'],[],"['love', 'works perfectly', 'arrived on time', 'would buy again']",,3907
"['motor', 'grinding noise']","['horrible grinding noise', 'waste of money']",[],day one,3774
"['quality', 'value', 'premium feel', 'performance']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,4636
"['motor', 'grinding noise']","['horrible grinding noise from day one', 'waste of money']",[],day one,3162
['SteamKing Rice Cooker'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,2660
"['build quality', '2-pack']",[],"['excellent build quality', 'loved it']",,4616
['quality'],['expected better quality'],"['fine product', 'gets the job done']",,4629
"['sound', 'Bluetooth']",[],['does what it says'],,2452
"['CloudPillow Set', '2-pack']","['arrived damaged', 'smells like chemicals']",[],,2847
['AquaFlow Rainfall Showerhead'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,1145
['Memory Foam'],[],"['Outstanding product', 'made my daily routine so much easier']",,3079
"['motor', 'grinding noise']","['horrible grinding noise', 'waste of money']",[],day one,1104
"['55in', '4K UHD', 'easy to clean', 'quiet during operation', 'design/aesthetics']",[],"['easy to clean', 'quiet during operation', 'looks great', '5 stars rating']",,169
['InstaBrew Coffee Maker'],[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,1671
['quality'],[],['Does what it says'],,2571
"['L-Shape', 'Sectional']","['overheated', 'stopped working', 'safety hazard']",[],after 3 uses,2378
"['packaging', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,4396
['air purification'],[],['does what it says'],,4258
"['55in', '4K UHD', 'SmartTV']",[],"['Works perfectly', 'Arrived on time']",,3863
"['glowlight', 'floor lamp', 'ease of cleaning', 'operation noise level', 'appearance']",[],"['easy to clean', 'quiet during operation', 'looks great', '5 stars rating']",,24
['build quality'],[],"['excellent build quality', 'loved it']",,2634
['InstaBrew Coffee Maker'],[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,3341
['electric toothbrush'],"['stopped working after 4 days', 'waste of money']",[],4 days,2216
"['quality', 'value', 'premium feel', 'performance']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,3683
['delivery speed'],[],"['impressive', 'fast delivery']",,4725
"['quality', 'GlowLight Floor Lamp']","['broke', 'terrible quality']",[],2 weeks,1908
"['build quality', 'ease of setup', 'family-friendly']",[],"['well built', 'easy to set up', 'loved by whole family']",,85
"['instructions', 'setup']",['confusing instructions'],['functional'],a while,228
['plug'],"['sparked when plugged in', 'extremely dangerous']",[],,297
['coffee maker'],[],"['works perfectly', 'arrived on time', 'would buy again']",,1002
['VelvetTouch Duvet Cover'],[],"['love', 'works perfectly', 'arrived on time', 'would buy again']",,2139
"['LED', 'Vanity Mirror']",[],"['genuinely impressive', 'fast delivery']",,712
['WoodCraft Bed Frame Queen'],"['arrived damaged', 'smells like chemicals']",[],,2802
"['L-Shape', 'Sectional']",[],"['Great product', 'exceeded my expectations', 'Highly recommend']",,2528
"['LED', 'Bedside Lamp']",[],"['Works perfectly', 'Arrived on time', 'Would buy again']",,3753
"['foam generation', 'electric toothbrush']",[],"['best purchase of the year', 'works exactly as advertised', 'very happy']",,3322
['WoodCraft Bed Frame Queen'],[],"['Outstanding product', 'made my daily routine so much easier']",,3182
"['packaging', 'smell']","['arrived damaged', 'smells like chemicals']",[],,4184
"['bed frame', 'queen size']",[],"['love the product', 'works perfectly', 'arrived on time', 'would buy again']",,1616
"['packaging', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,3025
['Food Processor'],[],"['Works perfectly', 'Arrived on time', 'Would buy again']",,1414
['AirPurifier ProMax'],[],"['Works perfectly', 'arrived on time', 'Would buy again']",,764
['AquaFlow Rainfall Showerhead'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,656
"['quality', 'value', 'SmartTV', '55in', '4K UHD', 'premium feel', 'performance']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,4798
"['easy to clean', 'quiet during operation', 'looks']",[],"['easy to clean', 'quiet during operation', 'looks great', '5 stars']",,3850
['InstaBrew Coffee Maker'],"['Sent the wrong item twice', 'Defective product on arrival']",[],,4154
"['SmartTV', '55in', '4K UHD']",[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,469
['LED vanity mirror'],[],"['love the product', 'works perfectly', 'arrived on time', 'would buy again']",,158
"['plastic', 'build quality']","['plastic cracked', 'poorly made', 'cheaply built']",[],a week,1296
"['setup', 'performance', 'size (55in)', 'resolution (4K UHD)']",['mediocre performance'],['easy setup'],,498
"['instructions', 'setup']","['instructions are confusing', 'took a while to set up']",['functional'],,4741
"['leakage', 'smell', 'manual']","['leaks', 'smells like burnt plastic', 'manual is useless', 'awful']",[],,2941
"['memory foam', 'delivery']",[],"['genuinely impressive', 'fast delivery']",,3457
"['well built', 'easy to set up']",[],"['well built', 'easy to set up', 'whole family loves it']",,374
"['packaging', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,80
['delivery speed'],[],"['fast delivery', 'impressive performance']",,1554
['FoamPure Electric Toothbrush'],"['Sent the wrong item twice', 'Defective product on arrival']",[],,1670
['TurboBlend Pro 5000'],[],"['Works perfectly', 'arrived on time', 'Would buy again']",,2132
['LED vanity mirror'],"['Wrong item delivered initially', 'Delay in receiving replacement (10 days)']",[],10 days,4440
['air purification'],[],"['best purchase of the year', 'works exactly as advertised', 'very happy']",,466
"['Bluetooth', 'instructions', 'setup']","['instructions are confusing', 'took a while to set up']",['functional'],,249
"['quality', 'value', 'premium feel', 'performance']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,932
"['quality', 'value', 'premium feel', 'performance']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,1336
['CozySofa L-Shape Sectional'],"['sent the wrong item twice', 'defective product']",[],,4525
['AirPurifier ProMax'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,1339
['SoftTouch Luxury Towel Set'],[],"['love', 'works perfectly', 'arrived on time', 'would buy again']",,1407
['TurboBlend Pro 5000'],['quirks'],"['decent product for the price', 'generally works fine']",,1091
['SteamKing Rice Cooker'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,4210
"['CloudPillow Set', '2-pack']",[],"['genuinely impressive', 'fast delivery']",,743
"['LED', 'Vanity Mirror']","['Terrible quality', 'broke']",[],2 weeks,2324
"['steaming', 'rice cooker']",['expected better quality'],"['fine product', 'gets the job done']",,3602
['CrispAir Fryer XL'],['expected better quality'],"['fine product', 'gets the job done']",,2124
"['leakage', 'smell', 'manual']","['leaks', 'smells like burnt plastic', 'manual is useless', 'awful']",[],,2095
['build quality'],[],"['excellent build quality', 'loved it']",,241
['plug'],"['sparked when plugged in', 'extremely dangerous']",[],,2352
"['velvet touch', 'duvet cover', 'quality']",[],['does what it says'],,1371
"['build quality', 'ease of setup', 'family-friendly']",[],"['well built', 'easy to set up', 'loved by whole family']",,1058
"['quality', 'value', 'feel', 'performance']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,4817
['build quality'],[],"['excellent build quality', 'loved it']",,200
"['easy to clean', 'quiet during operation', 'design/appearance']",[],"['easy to clean', 'quiet during operation', 'design/appearance', 'overall rating (5 stars)']",,2281
['AromaSpa Diffuser'],[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,4750
"['motor', 'CrispAir Fryer XL']",['horrible grinding noise from day one'],[],day one,2221
['build quality'],[],['excellent build quality'],,4772
['build quality'],[],"['excellent build quality', 'loved it']",,2820
"['LED', 'Vanity Mirror', 'build quality', 'setup']",[],"['well built', 'easy to set up', 'family loves it']",,3151
"['55in', '4K UHD', 'Fast delivery']",[],['genuinely impressive'],,4257
"['CloudPillow Set', '2-pack']",[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,3108
"['CloudPillow Set', '2-pack']","['difficulty returning product', 'no response from customer service']",[],,1974
"['build quality', 'setup process']",[],"['well built', 'easy to set up', 'family loves it']",,1376
['VelvetTouch Duvet Cover'],[],"['love', 'works perfectly', 'arrived on time', 'would buy again']",,3969
"['build quality', 'setup process']",[],"['well built', 'easy to set up', 'family approval']",,4063
"['overheating', 'safety']","['overheated', 'stopped working', 'safety hazard']",[],after 3 uses,4446
"['LED', 'Vanity Mirror']",[],"['genuinely impressive', 'fast delivery']",,3558
['plastic'],"['poorly made', 'cracked within a week', 'cheaply built']",[],a week,965
['VelvetTouch Duvet Cover'],[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,180
['TurboBlend Pro 5000'],[],"['fast delivery', 'genuinely impressive']",,3699
"['quality', 'SoftTouch Luxury Towel Set']","['broke', 'terrible quality']",[],2 weeks,3822
"['quality', 'value', 'premium feel', 'performance']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,4879
"['quality', 'durability']","['broke after 2 weeks', 'terrible quality']",[],2 weeks,3900
"['packaging', 'LED', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,4488
['CRISPAIR FRYER XL'],[],"['fast delivery', 'genuinely impressive']",,3239
"['build quality', 'ease of setup', 'family appeal']",[],"['well built', 'easy to set up', 'family loves it']",,2975
"['setup', 'performance']",['performance is mediocre'],['setup was easy'],,3581
"['L-Shape', 'Sectional']",[],"['Outstanding product', 'made my daily routine so much easier']",,2888
['InstaBrew Coffee Maker'],[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,2576
['VelvetTouch Duvet Cover'],[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,1420
"['delivery', 'DreamRest Memory Foam Mattress', 'box', 'product inside']","['delivery took 3 weeks', 'box was crushed']",['product inside was okay'],3 weeks,3908
"['build quality', 'ease of setup', 'size (Queen)']",[],"['well built', 'easy to set up', 'family loves it']",,4674
"['packaging', 'immediate functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,4903
['Bluetooth'],"['difficulty returning product', 'no response from customer service']",[],,1861
"['55in', '4K UHD', 'easy to clean', 'quiet during operation', 'design/aesthetics']",[],"['easy to clean', 'quiet during operation', 'looks great', '5 stars']",,9
"['55in', '4K UHD', 'build quality']",[],"['loved it', 'Excellent build quality']",,2895
['delivery speed'],[],"['impressive', 'fast delivery']",,2848
['Memory Foam'],[],"['Outstanding product', 'made my daily routine so much easier']",,3665
"['LED', 'Bedside Lamp']",[],"['genuinely impressive', 'fast delivery']",,145
"['plastic', 'LED Vanity Mirror']","['poorly made', 'plastic cracked', 'cheaply built']",[],a week,2105
['build quality'],[],"['excellent build quality', 'loved it']",,3144
['SOFTTOUCH LUXURY TOWEL SET'],[],"['ABSOLUTELY LOVE', 'WORKS PERFECTLY', 'ARRIVED ON TIME', 'WOULD BUY AGAIN']",,842
"['instructions', 'setup']",['confusing instructions'],['functional'],a while,1129
"['delivery time', 'performance']",[],"['arrived on time', 'works as described']",,152
['memory foam'],[],"['best purchase', 'works exactly as advertised', 'very happy']",,3592
['Food Processor'],[],"['Works perfectly', 'arrived on time', 'Would buy again']",,1053
"['build quality', 'ease of setup', 'size (Queen)']",[],"['well built', 'easy to set up', 'family loves it']",,1591
"['memory foam', 'quality']",[],['does what it says'],,3009
['SoftTouch Luxury Towel Set'],[],"['Best purchase I made this year', 'works exactly as advertised', 'Very happy']",,2030
"['packaging', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,3419
"['LED', 'bedside lamp']","['died in week one', 'warranty claim was denied']",[],week one,1808
"['CloudPillow Set', '2-pack']",[],"['Outstanding product', 'made my daily routine so much easier']",,2697
"['55-inch', '4K UHD', 'Smart TV']",[],"['impressive', 'fast delivery']",,3040
['delivery speed'],[],"['GlowLight Floor Lamp', 'impressive', 'fast delivery']",,473
"['delivery time', 'functionality']",[],"['arrived on time', 'works as described']",,3290
"['easy to clean', 'quiet during operation', 'appearance']",[],"['easy to clean', 'quiet during operation', 'looks great', '5 stars']",,4075
"['CloudPillow Set', '2-pack']",[],"['genuinely impressive', 'fast delivery']",,3497
['build quality'],[],"['excellent build quality', 'loved it']",,280
['delivery speed'],[],"['impressive', 'fast delivery']",,1742
['SoftTouch Luxury Towel Set'],['expected better quality'],"['fine product', 'gets the job done']",,4625
['delivery speed'],[],"['impressive', 'fast delivery']",,2887
['delivery speed'],[],"['impressive performance', 'fast delivery']",,1942
['Food Processor'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,101
"['packaging', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,2805
['delivery speed'],[],"['CrispAir Fryer XL', 'fast delivery']",,3571
"['LED', 'Vanity Mirror']",[],"['genuinely impressive', 'fast delivery']",,3685
"['build quality', 'ease of setup', 'family appeal']",[],"['well built', 'easy to set up', 'family loves it']",,3662
"['55in', '4K UHD', 'SmartTV']",[],"['Works perfectly', 'Arrived on time']",,531
"['quality', 'value', 'feel', 'performance']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,1887
['CrispAir Fryer XL'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,682
['InstaBrew Coffee Maker'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,3795
['diffuser'],"['stopped working after 4 days', 'waste of money']",[],4 days,3945
['Food Processor'],[],"['Works perfectly', 'Arrived on time', 'Would buy again']",,4667
"['quality', 'value', 'premium feel', 'performance', 'LED Vanity Mirror']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,2019
['InstaBrew Coffee Maker'],[],"['Great product', 'exceeded my expectations in every way', 'Highly recommend']",,1097
"['easy to clean', 'quiet during operation', 'appearance']",[],"['easy to clean', 'quiet during operation', 'looks great', '5 stars rating']",,830
"['packaging', 'functionality']",[],"['well packaged', 'started working immediately', 'no issues']",,2806
"['quality', 'value', 'feel', 'performance']",[],"['solid quality', 'great value', 'feels premium', 'performs even better']",,3830
['MirrorPro LED Vanity Mirror'],"['died in week one', 'warranty claim was denied']",[],week one,4382
